Variable,n_groups,offset_mean,offset_ci_low,offset_ci_high,pct_amp_diff_mean,pct_amp_diff_ci_low,pct_amp_diff_ci_high
GPP,27,-21.715000000000003,-33.91127777777778,-8.986180555555556,-2.9346954616367005,-14.768542209215747,10.06972352604102
ET,27,-5.2837407407407415,-13.885758333333332,4.086270370370366,-13.120230348641858,-23.85742016297809,-1.8583839056242244
WUE,27,-25.165629629629635,-73.71293981481482,26.970709259259255,90.9200844250465,60.39036910876037,126.98038659228001
