Veg,n,k_empirical,r2
CRO,28,12.977940900100576,0.35967593631161954
DBF,25,12.498271586379605,0.8051117770560429
ENF,43,20.924941733098308,0.09193981819964137
GRA,148,16.658333890062714,0.143279410634235
WSA,24,8.773005892286319,0.5006201671088373
