Grouping,Group,Variable,FLUXNET_peak_doy,FLUXNET_peak_val,FLUXNET_trough_val,FLUXNET_amplitude,ECOCO3_peak_doy,ECOCO3_peak_val,ECOCO3_trough_val,ECOCO3_amplitude,peak_doy_offset,amplitude_ratio
Veg,BSV,GPP,197.0,0.956006753738812,0.17056364712882746,0.7854431066099846,1.0,2.1426134327107538,0.4626347521237727,1.6799786805869812,-196.0,2.1388928955502085
Veg,BSV,ET,166.0,1.0751519947099903,0.2561570933939562,0.8189949013160341,197.0,1.190427821876063,0.4462091421488507,0.7442186797272123,31.0,0.9086975737349956
Veg,BSV,WUE,294.0,1.9011481087423099,0.9038213521449404,0.9973267565973695,1.0,9.756149237031904,0.49673245115189546,9.259416785880008,-293.0,9.284235808002217
Veg,CRO,GPP,206.0,10.104028364716804,0.819679094000244,9.28434927071656,168.0,7.721327069469404,1.4981069418229462,6.223220127646458,-38.0,0.6702914707522798
Veg,CRO,ET,196.0,4.077047951153305,0.6990434289868497,3.378004522166455,179.0,2.596559991374039,0.6909992017564288,1.90556078961761,-17.0,0.5641084187760337
Veg,CRO,WUE,210.0,2.587406856031789,1.3709005002175672,1.216506355814222,67.0,4.606313262210811,2.552740296204283,2.0535729660065285,-143.0,1.6880906180157589
Veg,CVM,GPP,209.0,9.13143817797703,0.7859831591010954,8.345455018875935,168.0,9.466406514852716,1.5241873962039654,7.942219118648751,-41.0,0.9516819754806495
Veg,CVM,ET,201.0,3.296876011436582,0.8093247745700504,2.4875512368665316,181.0,3.1762588224173975,0.9265169969697513,2.2497418254476464,-20.0,0.9044001957047348
Veg,CVM,WUE,215.0,2.6679176395495814,1.045563504941795,1.6223541346077863,135.0,4.576262986686979,2.415544809179732,2.1607181775072473,-80.0,1.3318412616673323
Veg,DBF,GPP,182.0,10.50237284932377,0.2898739807811378,10.212498868542632,175.0,12.830219287366933,0.5414981659595971,12.288721121407336,-7.0,1.203302079108185
Veg,DBF,ET,194.0,4.496985923909112,0.4028994605210286,4.094086463388083,180.0,3.676863533614485,0.7631845756351433,2.9136789579793416,-14.0,0.7116798787801152
Veg,DBF,WUE,157.0,3.0676089870101366,0.9740279446798945,2.093581042330242,169.0,4.088666043731361,1.8609090519669567,2.2277569917644042,12.0,1.064089207306166
Veg,EBF,GPP,165.0,6.583159765674745,3.9448324416823586,2.6383273239923866,191.0,7.070724537905913,2.69440875208044,4.376315785825473,26.0,1.6587463375102056
Veg,EBF,ET,187.0,3.069132829136966,1.5924780845710382,1.4766547445659277,188.0,3.491006944339849,1.3913937797565443,2.099613164583305,1.0,1.42187141057167
Veg,EBF,WUE,1.0,3.151785988176433,2.5402248574877917,0.6115611306886413,71.0,3.286050290022466,2.2081973148662817,1.0778529751561843,70.0,1.7624615448376855
Veg,ENF,GPP,182.0,7.666333816430975,1.10376727508861,6.562566541342365,168.0,5.527363488162896,0.9181995424722009,4.609163945690695,-14.0,0.7023416702374337
Veg,ENF,ET,185.0,3.283546748985602,0.7478949209949654,2.5356518279906366,186.0,3.5889640426431146,0.6710491003797324,2.917914942263382,1.0,1.1507553639868877
Veg,ENF,WUE,298.0,3.461554734648005,2.039246242723969,1.4223084919240363,1.0,5.070366617807486,1.6098890355602837,3.4604775822472025,-297.0,2.4330007181255175
Veg,GRA,GPP,187.0,6.299338947919487,1.283343971528619,5.015994976390868,164.0,5.096713360668491,1.0055589100981541,4.091154450570337,-23.0,0.8156217200827469
Veg,GRA,ET,188.0,3.393531510106588,0.6947709520783317,2.698760558028256,177.0,2.33306581794524,0.6931317285032108,1.6399340894420291,-11.0,0.6076619448744955
Veg,GRA,WUE,1.0,2.315699693990374,1.699974265882776,0.6157254281075981,1.0,5.7243285275249,1.8153962968457444,3.908932230679156,0.0,6.3484989448837075
Veg,MF,GPP,180.0,9.701299473021894,1.380763559419899,8.320535913601995,165.0,8.333149401201059,1.2776951470802236,7.055454254120836,-15.0,0.8479567094454736
Veg,MF,ET,192.0,3.6729273498867627,0.44222551649798075,3.230701833388782,187.0,3.421727252858528,0.8058115354334286,2.6159157174250995,-5.0,0.8097050895845704
Veg,MF,WUE,1.0,6.3731235043595325,3.210420007215329,3.1627034971442036,1.0,5.286205909726915,2.1971618494777174,3.0890440602491975,0.0,0.9767099770934842
Veg,OSH,GPP,171.0,3.305844090527364,0.3333140141458526,2.9725300763815112,113.0,1.7807702113098405,0.9820826634816573,0.7986875478281832,-58.0,0.26868947573456786
Veg,OSH,ET,192.0,2.41328566847517,0.4070300482752238,2.006255620199946,195.0,1.5989019397583755,0.6503821913556499,0.9485197484027256,3.0,0.47278110468704626
Veg,OSH,WUE,123.0,1.7201262892910105,1.009087522029311,0.7110387672616996,1.0,5.633367016940264,0.8845679962636831,4.748799020676581,-122.0,6.678678068377071
Veg,SAV,GPP,114.0,5.279736162781178,1.1041176168386895,4.175618545942488,151.0,7.083888299980247,1.6897114298612372,5.39417687011901,37.0,1.29182702173804
Veg,SAV,ET,122.0,2.7174087697709957,0.4671373777856234,2.2502713919853723,175.0,2.9112383126798713,1.108687508820505,1.8025508038593663,53.0,0.8010370705859658
Veg,SAV,WUE,366.0,5.2626336810239955,1.2463238683710125,4.016309812652983,1.0,5.6252843895776445,1.9925591087539714,3.6327252808236734,-365.0,0.9044932911746836
Veg,WET,GPP,192.0,6.401183220344116,0.4623163380417695,5.938866882302347,168.0,5.694249125642354,1.7436740056033906,3.950575120038964,-24.0,0.6652068817726097
Veg,WET,ET,187.0,4.861672796504887,0.970122148145134,3.8915506483597535,186.0,3.094406712845061,1.1634145007644983,1.9309922120805627,-1.0,0.4962012283957951
Veg,WET,WUE,243.0,1.6909149649695485,0.4736547249440916,1.2172602400254569,1.0,4.509590991152805,1.6183768181528515,2.8912141729999536,-242.0,2.375181639827067
Veg,WSA,GPP,234.0,4.768251758208281,1.825490532990826,2.9427612252174553,159.0,6.805271813392445,1.3066110451108222,5.498660768281623,-75.0,1.8685378620466564
Veg,WSA,ET,230.0,2.7583050841199706,0.988088191670315,1.7702168924496555,185.0,3.175398205384219,1.0288909315864234,2.1465072737977957,-45.0,1.2125673881845198
Veg,WSA,WUE,78.0,2.1933960170713256,1.83078238157966,0.3626136354916656,1.0,4.14784900750229,1.7733962033341288,2.374452804168161,-77.0,6.548161932599847
kg_label,Am,GPP,212.0,5.339278236214638,3.2581651180651128,2.0811131181495255,215.0,6.38734379202289,2.5309908121603293,3.856352979862561,3.0,1.8530242043217406
kg_label,Am,ET,210.0,4.047960482805965,2.284090576436449,1.7638699063695156,215.0,3.1162922035586313,1.9363563156164925,1.1799358879421389,5.0,0.6689472299976711
kg_label,Am,WUE,1.0,1.923034018767189,1.2638250744476867,0.6592089443195024,121.0,2.1710827031968893,1.148383255508907,1.0226994476879823,120.0,1.5514040828795324
kg_label,Aw,GPP,237.0,7.68764104572351,3.2220236854811577,4.4656173602423515,140.0,5.447703636009472,2.6455748091810865,2.802128826828386,-97.0,0.6274896841310006
kg_label,Aw,ET,242.0,4.1655107050354685,1.6054947958610155,2.560015909174453,136.0,3.274405793219247,1.7394827149556271,1.5349230782636198,-106.0,0.5995756013713984
kg_label,Aw,WUE,366.0,2.3376531174285713,1.8605026720046567,0.4771504454239146,261.0,2.4289697076747356,1.2055958523737822,1.2233738553009534,-105.0,2.5639164063109527
kg_label,BSh,GPP,235.0,4.058846596938332,1.0401527265547132,3.0186938703836184,256.0,3.6872893733143153,1.629469982022347,2.057819391291968,21.0,0.6816919766132027
kg_label,BSh,ET,222.0,2.7350557209173787,0.6826499718342758,2.052405749083103,202.0,2.791799343609717,0.9762519336058336,1.8155474100038833,-20.0,0.8845947789880074
kg_label,BSh,WUE,55.0,1.9859141383292478,1.4252007251065495,0.5607134132226983,1.0,3.1288304440304335,1.086135053272164,2.0426953907582694,-54.0,3.643029295514593
kg_label,BSk,GPP,209.0,4.122765079720169,0.8477828119015561,3.274982267818613,170.0,4.621259414129099,0.38919611077036476,4.232063303358735,-39.0,1.2922400664409124
kg_label,BSk,ET,198.0,2.518519235325764,0.6158101135894996,1.9027091217362646,175.0,2.454886759680996,0.3580977230448583,2.096789036636138,-23.0,1.1020018838837389
kg_label,BSk,WUE,217.0,1.6950824314891617,1.2603792344531302,0.43470319703603155,137.0,2.6407792747864174,0.7728378809080365,1.8679413938783809,-80.0,4.297050048434659
kg_label,BWh,GPP,246.0,2.747069922958205,0.663612404675925,2.0834575182822803,171.0,2.221714477885117,0.6387640063776654,1.5829504715074514,-75.0,0.7597709373083473
kg_label,BWh,ET,225.0,1.8472150924820214,0.48418087294471507,1.3630342195373064,168.0,1.4904907477300564,0.6521832115994961,0.8383075361305603,-57.0,0.6150304402593288
kg_label,BWh,WUE,101.0,2.460733610384735,1.4576179264150735,1.0031156839696616,366.0,3.309455836530929,1.160917534442004,2.148538302088925,265.0,2.1418649278679864
kg_label,BWk,GPP,197.0,6.952737520620082,0.6381726019319108,6.314564918688172,247.0,2.107877134724104,0.17055995328152232,1.9373171814425818,50.0,0.30680137212763864
kg_label,BWk,ET,197.0,4.078206381376106,0.449218850534929,3.6289875308411768,228.0,1.5900006029393279,0.3303706926709056,1.2596299102684223,31.0,0.3471022976969138
kg_label,BWk,WUE,121.0,2.4495861005219473,1.7424092485886218,0.7071768519333255,363.0,6.062692143512936,0.08520958763161127,5.977482555881324,242.0,8.452599289045871
kg_label,Cfa,GPP,195.0,8.276865756441158,1.5297856715286107,6.747080084912547,169.0,7.742022063294079,1.4355780969980094,6.30644396629607,-26.0,0.9346923242245481
kg_label,Cfa,ET,189.0,4.276506385433317,0.9117595006654232,3.3647468847678934,181.0,3.582668708447423,0.944815106052983,2.63785360239444,-8.0,0.783967915784668
kg_label,Cfa,WUE,138.0,2.1573934659656353,1.7412702385905532,0.4161232273750821,118.0,3.0068771761387443,2.004530094332215,1.0023470818065294,-20.0,2.4087746510315347
kg_label,Cfb,GPP,166.0,8.207186404784466,1.43549365399848,6.771692750785986,161.0,7.5414120061655545,1.3136916887629713,6.227720317402583,-5.0,0.9196696522711748
kg_label,Cfb,ET,174.0,3.4197286518970045,0.5584425527305786,2.861286099166426,185.0,2.7772059026475144,0.5411030297680836,2.2361028728794308,11.0,0.7815027212870713
kg_label,Cfb,WUE,1.0,3.77825347316037,2.3871831131289047,1.3910703600314651,72.0,6.075375387522828,2.756860868496458,3.3185145190263703,71.0,2.385583514949817
kg_label,Csa,GPP,191.0,6.196893270175867,1.4727899820752088,4.7241032881006575,137.0,4.924637121722265,1.4658660670385264,3.4587710546837385,-54.0,0.7321539864286815
kg_label,Csa,ET,181.0,3.5678232282418545,0.7014972009591266,2.866326027282728,197.0,2.5972287379869967,0.5913468540224577,2.005881883964539,16.0,0.6998093953276179
kg_label,Csa,WUE,1.0,2.9878556631361506,1.8980328194326743,1.0898228437034763,1.0,4.95040971430638,1.4591276580543027,3.491282056252077,0.0,3.203531726668413
kg_label,Csb,GPP,169.0,5.17976168458355,1.2867397290654217,3.8930219555181282,152.0,5.8027742566118965,1.3627293007792907,4.440044955832606,-17.0,1.1405137208484286
kg_label,Csb,ET,168.0,3.5960236440798647,0.844145117460097,2.751878526619768,191.0,2.7334302062408384,0.5496741971448097,2.1837560090960286,23.0,0.7935510190482191
kg_label,Csb,WUE,1.0,2.687286153689685,1.5450449648916762,1.1422411887980086,78.0,6.339138020032378,1.6477325264091247,4.691405493623253,77.0,4.107193419071207
kg_label,Cwa,GPP,187.0,8.730598448784367,4.740292207471693,3.9903062413126733,172.0,7.282354646127913,1.4015321610032,5.880822485124712,-15.0,1.4737772314914166
kg_label,Cwa,ET,209.0,4.668808508726289,2.1875620061444616,2.4812465025818273,172.0,3.031139275267875,1.1076885449558675,1.9234507303120076,-37.0,0.7751953416601645
kg_label,Cwa,WUE,332.0,2.4047869766332557,1.9484974212301966,0.45628955540305904,345.0,3.7522813910036583,0.8166958482155873,2.935585542788071,13.0,6.433602321216731
kg_label,Cwb,GPP,185.0,6.509724592049709,1.7037041444723806,4.806020447577328,197.0,6.261494365113548,0.9604018340081366,5.301092531105412,12.0,1.1030108150658504
kg_label,Cwb,ET,180.0,2.712247763116569,1.1905491090250582,1.521698654091511,191.0,3.312678760727409,1.3291832702088875,1.9834954905185216,11.0,1.3034745645501764
kg_label,Cwb,WUE,366.0,3.1589593011132475,1.9559875592837241,1.2029717418295234,222.0,2.6347574544668353,0.4543561881810474,2.180401266285788,-144.0,1.812512456003126
kg_label,Dfa,GPP,209.0,12.28364239192377,0.27985705426252777,12.003785337661242,180.0,11.523460349123763,0.7541056244611564,10.769354724662607,-29.0,0.8971632215776407
kg_label,Dfa,ET,198.0,4.354318364315424,0.5164710299863648,3.8378473343290596,175.0,3.4489923767003052,0.3163495228871053,3.1326428538132,-23.0,0.816249991444971
kg_label,Dfa,WUE,215.0,3.19334966742703,0.6979044221292179,2.4954452452978124,122.0,6.467033488617042,1.941156586991289,4.525876901625753,-93.0,1.8136550622194172
kg_label,Dfb,GPP,179.0,9.492327011633485,0.28739711355749764,9.204929898075987,180.0,12.202743502270433,0.15757368755357648,12.045169814716857,1.0,1.3085563875108421
kg_label,Dfb,ET,191.0,3.565638806239127,0.4109523012183667,3.15468650502076,177.0,3.131373840160212,0.14597996601593946,2.9853938741442727,-14.0,0.9463361476308172
kg_label,Dfb,WUE,159.0,3.376498285441067,0.9050913898119541,2.471406895629113,302.0,5.20815328004384,2.3365750136559558,2.871578266387884,143.0,1.1619204718844587
kg_label,Dwa,GPP,207.0,9.552299905882665,0.2060356622798879,9.346264243602777,232.0,9.114525199546527,0.5149921476009964,8.599533051945532,25.0,0.9201037792005122
kg_label,Dwa,ET,210.0,4.3031652977309545,0.2951254167259299,4.008039881005025,226.0,3.0882598482765062,0.3369808323411212,2.751279015935385,16.0,0.6864400299443866
kg_label,Dwa,WUE,208.0,2.640700776179656,0.9931123161352057,1.6475884600444504,145.0,4.027096243135942,0.1428289843949164,3.8842672587410254,-63.0,2.357547016708427
kg_label,ET,GPP,204.0,4.494952102702443,0.07359926601812476,4.421352836684318,256.0,4.785222428001504,0.8426574839509098,3.942564944050594,52.0,0.8917100918385924
kg_label,ET,ET,199.0,3.2764590462820626,0.4353122805871584,2.841146765694904,233.0,2.092231360923975,1.0750359888605363,1.0171953720634388,34.0,0.3580228182315134
kg_label,ET,WUE,219.0,1.5376697428295747,0.14771864606569549,1.3899510967638793,256.0,5.706929071166033,0.7017222071241224,5.00520686404191,37.0,3.600994938379605
