IGBP_MODIS,IGBP_VIIRS,WUE,WUE_ECO,SIF,ET,Phase_Angle,SIF_Uncertainty,IGBP,WUE_gCkgH20,GPP,IGBP_class_MODIS,IGBP_class_VIIRS,SiteName,Lat,Lon,Timestamp,LocalTime,TOD,Season,kg_class,kg_confidence,kg_label,SPEI
10.0,10.0,0.056088727,0.9631386,0.05177722,1.1218312,72.6653,0.26129907,10.0,0.7644893485680223,0.7057235258072615,GRA,GRA,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
12.0,12.0,0.03652203,0.91213167,0.040785003,1.8289635,72.64892,0.27693164,12.0,0.4977952802181244,0.5558995970711113,CRO,CRO,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
13.0,13.0,0.08103743,1.0046088,0.11782292,1.7349852,73.502396,0.2537508,13.0,1.1045401975512505,1.6059264373034239,URB,URB,fos028,37.0,-121.0,2020-10-09 18:52:09,2020-10-09 11:00:00,Midday,Fall,7.0,91.0,BSk,-1.6503212451934814
1.0,1.0,0.0526694,3.3640769,0.16623878,2.7594147,74.905685,0.24535847,1.0,0.717883901372552,2.2658346366882327,ENF,ENF,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
6.0,6.0,0.059831824,2.458803,0.09781504,1.5101266,74.315,0.23514748,6.0,0.8155077632144094,1.3332189512252808,CSH,CSH,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
7.0,7.0,0.06848972,1.2740624,0.09741911,1.6303234,72.11974,0.24463008,7.0,0.9335149232298137,1.327822509109974,OSH,OSH,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
8.0,8.0,0.018884594,3.6755388,0.056163408,1.8393087,73.78713,0.24816628,8.0,0.25739701105281715,0.7655072491616011,WSA,WSA,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
10.0,10.0,0.05647324,1.7484019,0.06767721,1.3234224,49.268036,0.29796854,10.0,0.7697302646934987,0.9224403353780508,GRA,GRA,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
13.0,13.0,0.13526739,1.9511062,0.14543325,1.7568038,73.73047,0.297121,13.0,1.8436945502460005,1.9822551578283312,URB,URB,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
16.0,16.0,0.04330369,1.8298377,0.042254742,0.49010617,48.55738,0.29053137,16.0,0.5902293062955142,0.5759321366623045,BSV,BSV,fos084,-33.0,-70.0,2021-03-01 18:26:30,2021-03-01 14:00:00,Midday,Fall,29.0,80.0,ET,-0.26964715123176575
10.0,10.0,0.04734966,0.727893,0.08214121,1.6433432,51.93741,0.23453757,10.0,0.6453758874535561,1.1195847348123789,GRA,GRA,coc102,-22.0,27.0,2020-08-23 14:09:10,2020-08-23 16:00:00,Afternoon,Winter,6.0,100.0,BSh,-1.2362316846847534
1.0,1.0,0.058978908,1.1665641,0.049961057,1.7685355,64.17909,0.26191637,1.0,0.8038825128227473,0.6809692009165883,ENF,ENF,tmx025,39.0,-111.0,2022-04-15 15:31:19,2022-04-15 08:00:00,Morning,Spring,5.0,90.0,BWk,-1.4125036001205444
7.0,7.0,-0.024014166,0.3685652,-0.049959116,1.8306599,45.027103,0.29803634,7.0,-0.32731307746842503,-0.6809427467733622,OSH,OSH,tmx025,39.0,-111.0,2022-04-15 15:31:19,2022-04-15 08:00:00,Morning,Spring,5.0,90.0,BWk,-1.4125036001205444
9.0,9.0,0.08824852,0.6423653,0.3045807,1.8328049,60.996204,0.33131918,9.0,1.2028273424506188,4.151434783935547,SAV,SAV,tmx025,39.0,-111.0,2022-04-15 15:31:19,2022-04-15 08:00:00,Morning,Spring,5.0,90.0,BWk,-1.4125036001205444
10.0,10.0,-0.007561107,0.46639976,-0.018320067,2.1666987,63.96826,0.262418,10.0,-0.10305789067409933,-0.24970251122489573,GRA,GRA,tmx025,39.0,-111.0,2022-04-15 15:31:19,2022-04-15 08:00:00,Morning,Spring,5.0,90.0,BWk,-1.4125036001205444
12.0,12.0,0.053936448,0.9123684,0.11314635,1.9780787,74.041534,0.26247776,12.0,0.7351537855342031,1.542184747606516,CRO,CRO,tmx025,39.0,-111.0,2022-04-15 15:31:19,2022-04-15 08:00:00,Morning,Spring,5.0,90.0,BWk,-1.4125036001205444
13.0,13.0,0.061500758,0.8829154,0.11187017,1.7616107,76.58029,0.25329894,13.0,0.8382553306221963,1.5247904121875764,URB,URB,tmx025,39.0,-111.0,2022-04-15 15:31:19,2022-04-15 08:00:00,Morning,Spring,5.0,90.0,BWk,-1.4125036001205444
16.0,16.0,-0.017346743,0.22941649,-0.045542452,1.8951237,44.40815,0.3088404,16.0,-0.23643611382693053,-0.6207436273619533,BSV,BSV,tmx025,39.0,-111.0,2022-04-15 15:31:19,2022-04-15 08:00:00,Morning,Spring,5.0,90.0,BWk,-1.4125036001205444
10.0,10.0,-0.022091964,2.3056831,0.057014827,1.0313902,37.751816,0.28393158,10.0,-0.30111347286030654,0.7771120877191425,GRA,GRA,fos084,-33.0,-70.0,2022-03-16 20:06:19,2022-03-16 15:30:00,Afternoon,Fall,29.0,80.0,ET,-1.1759227514266968
16.0,16.0,-0.15847798,0.9932295,-0.094790176,0.87554055,30.421894,0.27097136,16.0,-2.160054825395346,-1.291990092843771,BSV,BSV,fos084,-33.0,-70.0,2022-03-16 20:06:19,2022-03-16 15:30:00,Afternoon,Fall,29.0,80.0,ET,-1.1759227514266968
1.0,1.0,0.11880611,1.3672962,0.5104422,4.300851,31.730173,0.30383602,1.0,1.6193272633850575,6.957327149510384,ENF,ENF,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
4.0,4.0,0.23043802,1.8461683,0.97253,4.140856,29.738413,0.3318398,4.0,3.1408702644705775,13.255584000349046,DBF,DBF,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
5.0,5.0,0.22137587,1.5554264,0.963001,4.291417,29.101303,0.32209647,5.0,3.0173530770838264,13.125703804492952,MF,MF,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
8.0,8.0,0.22056259,1.5417029,0.95521295,4.160392,27.624153,0.33520916,8.0,3.0062681309878827,13.01955251812935,WSA,WSA,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
9.0,9.0,0.25674105,1.6674495,1.1031288,3.873679,25.77748,0.34889293,9.0,3.4993804693222046,15.035645419359208,SAV,SAV,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
12.0,12.0,0.23087879,1.3889589,0.9022163,3.8400087,45.79666,0.33138564,12.0,3.146877842992544,12.29720837712288,CRO,CRO,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
13.0,13.0,0.14617898,1.0984241,0.5683117,3.7113314,26.497364,0.28745905,13.0,1.9924194388091565,7.74608835220337,URB,URB,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
14.0,14.0,0.20809285,1.3955151,0.8760907,4.0986524,35.635906,0.33130184,14.0,2.8363055922091007,11.941116314530372,CVM,CVM,tcc122,47.0,2.0,2020-05-30 16:22:29,2020-05-30 16:30:00,Afternoon,Spring,15.0,100.0,Cfb,-0.7738877534866333
10.0,10.0,0.086663775,0.103446476,0.19993192,2.5865664,80.763,0.24336387,10.0,1.1812272552400829,2.725072063803673,GRA,GRA,fos183,45.0,-106.0,2022-04-30 14:46:29,2022-04-30 07:30:00,Morning,Spring,7.0,99.0,BSk,2.466095209121704
10.0,10.0,0.030734407,0.5910294,0.08627628,2.828252,58.38369,0.29060552,10.0,0.4189099644683302,1.1759456677734852,GRA,GRA,tmx005,35.0,-101.0,2021-10-08 17:20:58,2021-10-08 10:30:00,Morning,Fall,7.0,70.0,BSk,-0.9227305054664612
